previous_khmer,current_khmer,count,last_selected
ខ្ញុំ,ចង់,1,2026-06-20T16:26:01+00:00
ផ្កា,ស្រពោន,4,2026-06-20T16:50:32+00:00
ចង់និយាយ,ថា,1,2026-06-20T16:57:13+00:00
ថា,ឮ,1,2026-06-20T16:58:27+00:00
ឮ,ថា,1,2026-06-20T16:58:29+00:00
ផ្កាស្រស់,ព្រះអាទិត្យ,1,2026-06-21T09:35:01+00:00
ព្រះអាទិត្យ,សាក,1,2026-06-21T09:38:58+00:00
សាក,ភ្លៀង,1,2026-06-21T09:39:26+00:00
ធុញណាស់,មិចដែល,1,2026-06-21T09:44:40+00:00
មិចដែល,ពីនាគគាត់កើតអីគេ,1,2026-06-21T09:47:24+00:00
ទេសនា,ទេសនា,3,2026-06-21T10:23:57+00:00
ទេសនា,ឥឡូវមិច,1,2026-06-21T10:24:19+00:00
មែនដែលទេ,ចុះមិច,1,2026-06-21T10:26:18+00:00
